idx,part_name,mass_g,material_group,volume_mm3,cg_x_mm,cg_y_mm,cg_z_mm,bbox_x_mm,bbox_y_mm,bbox_z_mm,n_triangles,Ixx_per_kgm3,Iyy_per_kgm3,Izz_per_kgm3,Ixy_per_kgm3,Iyz_per_kgm3,Izx_per_kgm3
0,,,,220351.7,-5.39,-19.35,129.55,161.1,154.6,616.0,12858,1.966550616172711e-06,1.9193112015090675e-06,5.804463035090669e-07,-1.5059498098849614e-09,2.0960925811631032e-07,-2.177010204350368e-09
1,,,,101144.9,-5.22,-18.22,204.66,135.0,135.0,90.0,3362,2.7228496017959893e-07,2.6036916475871354e-07,3.698106659528114e-07,5.84139184822035e-14,1.3063297972272785e-14,1.2518571663581718e-12
2,,,,76384.7,-5.22,-18.21,380.84,16.0,126.7,150.0,3948,3.029864504854224e-07,1.6971814654288466e-07,1.3536048116151686e-07,1.2226527782913717e-14,-6.885582232542194e-14,-1.0766336795212987e-13
3,Outer + Inner Gimbal (merged in mesh),58.75,pla_print,51055.8,-7.26,-20.42,82.76,53.4,54.2,84.9,3306,3.4614238911350526e-08,3.415802410176102e-08,1.9092297613555633e-08,-3.2980183965905866e-10,-2.2622648633609256e-09,-2.2486363345275154e-09
4,Carbon Pipe Leg,16.67,carbon_pipe_leg,15764.8,97.93,68.34,-5.82,110.9,96.0,138.6,698,3.058113988848617e-08,3.4242881564709325e-08,2.1868451425301744e-08,-1.0383380364675619e-08,1.3554539568372127e-08,1.6153672316539632e-08
5,Carbon Pipe Leg,16.67,carbon_pipe_leg,15764.8,-131.75,27.84,-5.82,131.5,59.0,138.6,698,2.433517583489887e-08,4.048885109247196e-08,2.1868454154870138e-08,6.777270861667587e-09,7.212220405092403e-09,-1.9815414204943773e-08
6,Carbon Pipe Leg,16.67,carbon_pipe_leg,15764.8,18.16,-150.82,-5.82,37.9,136.8,138.6,698,4.231971284537291e-08,2.2504302541237167e-08,2.1868448497693655e-08,3.6061095839417256e-09,-2.076675815930455e-08,3.661739590461684e-09
7,,,,14155.7,-17.82,-18.05,86.27,71.0,58.9,59.9,1160,7.157428763517403e-09,1.0685008641696867e-08,1.0588132462665987e-08,4.522925919568418e-11,3.7351122727122854e-10,-2.956203726476186e-09
8,Body Pipe,20.0,carbon_pipe_body,13976.2,-5.22,31.78,400.64,10.0,10.0,500.0,2064,2.9131302929564664e-07,2.9131302930642175e-07,2.8325841015555386e-10,-2.481541837659083e-24,-2.3822801641527197e-22,1.9852334701272664e-23
9,,,,10332.6,-39.85,-26.92,68.78,13.0,33.1,37.9,492,1.3813257825622193e-09,8.698001410179523e-10,7.984566051815883e-10,4.208426950151338e-18,7.660662314036932e-12,-4.482994665237289e-18
10,,,,10332.6,-16.82,23.78,99.23,31.8,13.0,38.0,492,8.663066685954572e-10,1.3813256575609983e-09,8.019499386257435e-10,-2.3939103235652153e-18,2.093607365261514e-18,1.71963604770448e-11
11,Foot,6.67,pla_print,7241.5,29.45,-214.93,-70.73,25.7,38.1,33.3,3040,8.43091869986199e-10,6.537454606412662e-10,7.169472108011594e-10,3.628685026619077e-11,-2.16580169209965e-10,3.068780456085071e-11
12,Foot,6.67,pla_print,7241.5,147.79,110.19,-70.73,35.3,33.2,33.0,3040,7.299189350891434e-10,7.666696127283476e-10,7.171960316278284e-10,-9.943299604026869e-11,1.4506071784453257e-10,1.6391780876781434e-10
13,Foot,6.67,pla_print,7241.5,-192.92,50.1,-70.73,37.5,28.4,32.6,3040,6.709774937736504e-10,8.253106852133795e-10,7.174958268200227e-10,6.504872495085255e-11,7.239637358453263e-11,-2.066838826509454e-10
14,,,,6746.3,-24.06,-36.98,-35.66,162.8,128.7,13.5,23346,6.219341166904752e-09,1.245039807568086e-08,1.857364143546081e-08,8.62063139225255e-09,-3.591087029959357e-10,5.456326969332559e-10
15,,,,6740.5,-21.4,-34.35,-16.93,29.6,202.4,31.2,23342,1.8337053695428063e-08,6.953751529641974e-10,1.8152160694156686e-08,-1.5359735173587362e-09,2.730274041893537e-09,2.49101245194521e-10
